STATE,ELECTORAL VOTES,ELECTORAL VOTE: TRUMP (R),ELECTORAL VOTE: HARRIS (D),AYYADURAI,BOWMAN,DE LA CRUZ,DUNCAN,EBKE,EVERYLOVE,FRUIT,GARRITY,HARRIS,HUBER,KENNEDY,KISHORE,OLIVER,PRESTON,SKOUSEN,SONSKI,STEIN,STODDEN,SUPREME,TERRY,TRUMP,WELLS,WEST,WOOD,NONE OF THESE CANDIDATES,WRITE-INS (SCATTERED),TOTAL VOTES
AL,9,9,,,,,,,,,,"772,412",,"12,075",,"4,930",,,,"4,319",,,,"1,462,616",,,,,"8,738","2,265,090"
AK,3,3,,,,,,,,,,"140,026",,"5,670",,"3,040",,,702,"2,342",,,812,"184,458",,"1,127",,,,"338,177"
AZ,11,11,,77,,689,,,,,,"1,582,860",,,,"17,898",,53,,"18,319",,,,"1,770,242",,,,,23,"3,390,161"
AR,6,6,,,,,,,,,,"396,905",,"13,255",,"5,715",,,"2,141","4,275",,,,"759,241",,,"1,144",,,"1,182,676"
CA,54,,54,,,"72,539",,,,,,"9,276,179",,"197,645",,"66,662",,,"2,939","167,814",,,,"6,081,697",,,,,,"15,865,475"
CO,10,,10,15,,905,,,,,30,"1,728,159","2,196","35,623",,"21,439",,,910,"17,344",,,"3,522","1,377,441",,"5,149",,,12,"3,192,745"
CT,7,,7,21,,264,,,,,,"992,053",,"8,448",,"6,729",,,162,"14,281",,,,"736,918",,128,,,6,"1,759,010"
DE,3,,3,4,,87,,,,,,"289,758",,"4,636",,"2,038",,,98,914,,914,,"214,351",,96,,,16,"512,912"
DC,3,,3,,,,,,,,,"294,185",,"2,778",,,,,,,,,,"21,076",,,,,"7,830","325,869"
FL,30,30,,199,,"11,969",,,,,,"4,683,038",,,,"31,972",,,"7,454","43,155",,,"5,834","6,110,125",,,,,6,"10,893,752"
GA,16,16,,37,30,,,,,,,"2,548,017",,,,"20,684",,,730,"18,229",,,,"2,663,117",,,,,61,"5,250,905"
HI,4,,4,,,"1,940",,,,,,"313,044",,,,"2,733",,,936,"4,387",,,,"193,661",,,,,,"516,701"
ID,4,4,,514,,"1,230",,,,,,"274,972",,"12,812",,"4,462",,"1,577",242,"2,973",,,"1,026","605,246",,,,,3,"905,057"
IL,19,,19,42,,"2,877",,,,,,"3,062,863",,"80,426",12,"3,510",,,"1,391","31,023",,,,"2,449,079",,"1,569",,,518,"5,633,310"
IN,11,11,,,,832,,,,,,"1,163,603",,"29,325",,"20,425",,,"1,347",,,,,"1,720,347",,722,,,76,"2,936,677"
IA,6,6,,424,,"1,427",,,,,,"707,278",,"13,122",,"7,218",,,,,361,,,"927,019",,,,,"6,657","1,663,506"
KS,6,6,,,,,,,,,,"544,853",,"16,322",,"7,614",,,,,,,,"758,802",,,,,,"1,327,591"
KY,8,8,,"1,015",10,391,,,,,,"704,043",,"16,769",8,"6,422",,,611,"7,566",,,,"1,337,494",,177,,,24,"2,074,530"
LA,8,8,,,,"1,481",,,,361,,"766,870",,"6,641",,"6,835","2,857",,"2,240","7,138",,,"1,424","1,208,505",,"2,623",,,,"2,006,975"
ME,4,1,3,,,,,,,,,"435,652",,,,"5,286",,,,"8,967",,,,"377,977",,"2,912",,,581,"831,375"
MD,10,,10,31,,"1,136",,,,,,"1,902,577",,"28,819",12,"15,570",,,"1,012","33,134",3,,,"1,035,550",,918,,,"19,572","3,038,334"
MA,11,,11,"18,418",,"12,889",,,,,,"2,126,518",,,,"17,735",,,280,"26,545",,,,"1,251,303",,243,,,"19,737","3,473,668"
